,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Country
0,Albany,42.6,-73.97,37.99,75,100,7.38,US
1,Khatanga,71.97,102.5,14.18,96,100,20.54,RU
2,Port Elizabeth,-33.92,25.57,60.8,100,100,4.7,ZA
3,Carnarvon,-24.87,113.63,71.6,83,0,11.41,AU
4,Busselton,-33.65,115.33,64.0,67,0,7.81,AU
5,Saskylakh,71.92,114.08,6.91,92,47,14.41,RU
6,Arraial do Cabo,-22.97,-42.03,75.2,73,75,13.87,BR
7,Bengkulu,-3.8,102.27,74.34,95,100,3.33,ID
8,Ponta do Sol,32.67,-17.1,66.2,77,20,9.17,PT
9,Punta Arenas,-53.15,-70.92,53.6,54,75,19.46,CL
10,Vaini,-21.2,-175.2,78.8,74,75,6.93,TO
11,Lebu,-37.62,-73.65,59.52,76,4,8.41,CL
12,Rikitea,-23.12,-134.97,74.79,74,2,10.36,PF
13,Vidim,56.41,103.11,20.17,97,100,6.33,RU
14,Ilihan,13.63,121.08,75.99,91,59,5.01,PH
15,Mar del Plata,-38.0,-57.56,84.2,35,0,11.41,AR
16,Katherine,-14.47,132.27,77.0,88,75,4.7,AU
17,Atuona,-9.8,-139.03,78.13,69,21,13.09,PF
18,Ushuaia,-54.8,-68.3,55.4,47,40,16.11,AR
19,Saint-Pierre,-21.34,55.48,73.4,73,18,13.87,RE
20,Quelimane,-17.88,36.89,78.01,94,0,6.93,MZ
21,Hobart,-42.88,147.33,59.0,82,90,5.82,AU
22,Oussouye,12.48,-16.55,82.4,83,0,2.24,SN
23,Barrow,71.29,-156.79,14.0,85,90,11.41,US
24,Vanimo,-2.67,141.3,80.1,80,76,1.01,PG
25,Karpathos,35.51,27.21,62.6,67,16,18.34,GR
26,Dombarovskiy,50.76,59.54,16.56,86,98,3.44,RU
27,Mataura,-46.19,168.86,55.4,51,30,0.43,NZ
28,Mehamn,71.04,27.85,30.2,86,40,6.93,NO
29,Vila Franca do Campo,37.72,-25.43,62.6,82,40,9.17,PT
30,Pevek,69.7,170.31,14.9,94,91,0.72,RU
31,Pauini,-7.71,-66.98,91.49,52,86,2.68,BR
32,Didi Lilo,41.74,44.96,41.0,86,0,2.24,GE
33,Beloha,-25.17,45.05,70.79,86,84,10.11,MG
34,Walvis Bay,-22.96,14.51,60.01,82,0,3.36,NA
35,Kavaratti,10.57,72.64,80.87,72,0,12.1,IN
36,Kargasok,59.06,80.86,20.23,97,99,6.17,RU
37,Esperance,-33.87,121.9,50.0,93,75,9.17,AU
38,Tazovsky,67.47,78.7,8.51,95,12,8.99,RU
39,Tasiilaq,65.61,-37.64,23.0,79,36,4.72,GL
40,Tegul'det,57.31,88.17,17.33,97,98,5.12,RU
41,Butaritari,3.07,172.79,80.73,76,100,14.0,KI
42,San Juan,-31.54,-68.54,92.05,23,0,20.15,AR
43,Nanortalik,60.14,-45.24,31.86,98,100,7.78,GL
44,Ilulissat,69.22,-51.1,15.8,47,100,11.41,GL
45,Port Pirie,-33.18,138.02,62.6,88,90,13.87,AU
46,Port Hardy,50.7,-127.42,44.6,87,75,13.87,CA
47,Hays,30.05,-98.03,79.0,48,78,1.99,US
48,Jamestown,42.1,-79.24,46.0,87,90,10.29,US
49,Moose Factory,51.26,-80.61,33.8,74,90,14.99,CA
50,Kavieng,-2.57,150.8,82.51,70,66,9.78,PG
51,Nikolskoye,59.7,30.79,39.2,86,75,6.71,RU
52,Whitehorse,60.72,-135.05,14.0,92,75,21.92,CA
53,Saint George,37.1,-113.58,66.0,24,1,3.2,US
54,Charlestown,-32.95,151.67,75.99,81,89,10.76,AU
55,Cherskiy,68.75,161.3,5.11,94,100,5.79,RU
56,Puerto Ayora,-0.74,-90.35,78.8,69,20,21.92,EC
57,Qaanaaq,77.48,-69.36,0.27,77,30,5.86,GL
58,Hasaki,35.73,140.83,51.8,87,20,2.24,JP
59,Rayong,12.83,101.43,77.0,94,20,5.82,TH
60,Teluk Nibung,3.0,99.82,75.78,90,100,8.14,ID
61,Norman Wells,65.28,-126.83,12.2,72,90,13.87,CA
62,Mount Gambier,-37.83,140.77,57.2,87,90,12.75,AU
63,Bethel,41.37,-73.41,43.0,88,90,6.93,US
64,Coyhaique,-45.58,-72.07,57.2,50,75,8.52,CL
65,Banda Aceh,5.56,95.32,78.3,72,74,5.61,ID
66,Vardø,70.37,31.11,30.2,86,75,12.75,NO
67,Oranjemund,-28.55,16.43,60.73,86,14,8.95,NA
68,Hermanus,-34.42,19.23,62.01,88,28,5.97,ZA
69,Katsuura,35.13,140.3,57.2,71,20,3.36,JP
70,Coos Bay,43.37,-124.22,53.01,81,90,11.41,US
71,Hithadhoo,-0.6,73.08,82.22,74,86,7.43,MV
72,La Ronge,55.1,-105.28,3.2,77,30,1.12,CA
73,Tuatapere,-46.13,167.68,52.83,54,94,1.66,NZ
74,Biak,-0.91,122.88,78.67,76,95,1.81,ID
75,Ambon City,-3.7,128.18,95.0,50,40,9.17,ID
76,Lere,10.39,8.57,69.93,43,41,4.09,NG
77,Bluff,-46.6,168.33,49.73,68,6,4.25,NZ
78,Port Lincoln,-34.73,135.87,59.72,77,81,14.88,AU
79,Aden,12.78,45.04,80.46,68,99,4.68,YE
80,East London,-33.02,27.91,66.18,84,100,6.53,ZA
81,Pitimbu,-7.47,-34.81,78.8,74,0,6.93,BR
82,Lukovetskiy,64.3,41.92,33.8,86,90,8.95,RU
83,Cape Town,-33.93,18.42,64.99,77,20,12.75,ZA
84,Tibiao,11.29,122.04,79.86,76,13,8.16,PH
85,Longyearbyen,78.22,15.64,17.6,85,0,2.24,SJ
86,Ribeira Grande,38.52,-28.7,62.6,77,20,8.05,PT
87,Severo-Kuril'sk,50.68,156.12,28.94,95,82,28.95,RU
88,Butembo,0.15,29.28,58.89,97,54,2.44,CD
89,Torbay,47.67,-52.73,30.99,63,75,9.17,CA
90,Isakly,54.13,51.53,21.11,92,100,10.63,RU
91,Hilo,19.73,-155.09,75.2,88,90,18.34,US
92,Hamilton,39.18,-84.53,48.2,87,90,20.8,US
93,Willmar,45.12,-95.04,39.2,69,75,17.22,US
94,Tabuk,17.42,121.44,70.34,86,16,4.65,PH
95,Sistranda,63.73,8.83,42.8,87,75,35.57,NO
96,Buarcos,40.17,-8.88,53.6,93,0,3.36,PT
97,Pangnirtung,66.15,-65.71,3.2,65,20,6.33,CA
98,Lavrentiya,65.58,-171.0,31.32,98,100,6.71,RU
99,Bowen,-20.02,148.23,77.0,73,40,9.17,AU
100,Bangad,15.5,121.03,75.2,73,40,2.24,PH
101,Kysyl-Syr,63.9,122.76,-7.26,90,100,4.38,RU
102,Lorengau,-2.02,147.27,82.83,74,100,8.32,PG
103,Ahipara,-35.17,173.17,62.83,56,67,6.82,NZ
104,Kapaa,22.08,-159.32,78.8,69,90,20.8,US
